hour,dry_bulb_temp_milli_c,relative_humidity_milli_pct,global_horizontal_milli_wh_m2,direct_normal_milli_wh_m2,diffuse_horizontal_milli_wh_m2,wind_speed_milli_m_s,wind_direction_milli_deg
0,-5301,70971,0,0,0,4000,184500
1,-5701,71230,0,0,0,4285,184500
2,-5837,71319,0,0,0,4550,184500
3,-5701,71230,0,0,0,4778,184500
4,-5301,70971,0,0,0,4953,184500
5,-4665,70558,0,0,0,5063,184500
6,-3837,70019,0,0,0,5100,184500
7,-2872,69392,71147,51226,19921,5063,184500
8,-1837,68719,137445,98961,38485,4953,184500
9,-802,68046,194377,139952,54426,4778,184500
10,163,67419,238062,171405,66657,4550,184500
11,991,66881,265524,191177,74347,4285,184500
12,1627,66467,274891,197921,76969,4000,184500
13,2027,66208,265524,191177,74347,3715,184500
14,2163,66119,238062,171405,66657,3450,184500
15,2027,66208,194377,139952,54426,3222,184500
16,1627,66467,137445,98961,38485,3047,184500
17,991,66881,71147,51226,19921,2937,184500
18,163,67419,0,0,0,2900,184500
19,-802,68046,0,0,0,2937,184500
20,-1837,68719,0,0,0,3047,184500
21,-2872,69392,0,0,0,3222,184500
22,-3837,70019,0,0,0,3450,184500
23,-4665,70558,0,0,0,3715,184500
24,-5268,70949,0,0,0,4000,207955
25,-5667,71209,0,0,0,4285,207955
26,-5804,71297,0,0,0,4550,207955
27,-5667,71209,0,0,0,4778,207955
28,-5268,70949,0,0,0,4953,207955
29,-4632,70536,0,0,0,5063,207955
30,-3804,69997,0,0,0,5100,207955
31,-2839,69370,71405,51412,19993,5063,207955
32,-1804,68697,137944,99320,38624,4953,207955
33,-768,68024,195083,140459,54623,4778,207955
34,196,67397,238926,172027,66899,4550,207955
35,1025,66859,266488,191871,74617,4285,207955
36,1660,66446,275888,198640,77249,4000,207955
37,2060,66186,266488,191871,74617,3715,207955
38,2196,66097,238926,172027,66899,3450,207955
39,2060,66186,195083,140459,54623,3222,207955
40,1660,66446,137944,99320,38624,3047,207955
41,1025,66859,71405,51412,19993,2937,207955
42,196,67397,0,0,0,2900,207955
43,-768,68024,0,0,0,2937,207955
44,-1804,68697,0,0,0,3047,207955
45,-2839,69370,0,0,0,3222,207955
46,-3804,69997,0,0,0,3450,207955
47,-4632,70536,0,0,0,3715,207955
48,-5232,70925,0,0,0,4000,213748
49,-5631,71185,0,0,0,4285,213748
50,-5767,71274,0,0,0,4550,213748
51,-5631,71185,0,0,0,4778,213748
52,-5232,70925,0,0,0,4953,213748
53,-4596,70512,0,0,0,5063,213748
54,-3767,69974,0,0,0,5100,213748
55,-2803,69347,71687,51615,20072,5063,213748
56,-1767,68674,138489,99712,38777,4953,213748
57,-732,68001,195853,141014,54839,4778,213748
58,233,67374,239870,172706,67164,4550,213748
59,1061,66835,267540,192629,74911,4285,213748
60,1697,66422,276978,199424,77554,4000,213748
61,2096,66162,267540,192629,74911,3715,213748
62,2233,66074,239870,172706,67164,3450,213748
63,2096,66162,195853,141014,54839,3222,213748
64,1697,66422,138489,99712,38777,3047,213748
65,1061,66835,71687,51615,20072,2937,213748
66,233,67374,0,0,0,2900,213748
67,-732,68001,0,0,0,2937,213748
68,-1767,68674,0,0,0,3047,213748
69,-2803,69347,0,0,0,3222,213748
70,-3767,69974,0,0,0,3450,213748
71,-4596,70512,0,0,0,3715,213748
72,-5192,70900,0,0,0,4000,197517
73,-5592,71160,0,0,0,4285,197517
74,-5728,71248,0,0,0,4550,197517
75,-5592,71160,0,0,0,4778,197517
76,-5192,70900,0,0,0,4953,197517
77,-4556,70487,0,0,0,5063,197517
78,-3728,69948,0,0,0,5100,197517
79,-2763,69321,71993,51835,20158,5063,197517
80,-1728,68648,139079,100137,38942,4953,197517
81,-693,67975,196688,141615,55073,4778,197517
82,272,67348,240892,173442,67450,4550,197517
83,1100,66810,268680,193450,75230,4285,197517
84,1736,66397,278158,200274,77884,4000,197517
85,2136,66137,268680,193450,75230,3715,197517
86,2272,66048,240892,173442,67450,3450,197517
87,2136,66137,196688,141615,55073,3222,197517
88,1736,66397,139079,100137,38942,3047,197517
89,1100,66810,71993,51835,20158,2937,197517
90,272,67348,0,0,0,2900,197517
91,-693,67975,0,0,0,2937,197517
92,-1728,68648,0,0,0,3047,197517
93,-2763,69321,0,0,0,3222,197517
94,-3728,69948,0,0,0,3450,197517
95,-4556,70487,0,0,0,3715,197517
96,-5150,70872,0,0,0,4000,171483
97,-5549,71132,0,0,0,4285,171483
