hour,dry_bulb_temp_milli_c,relative_humidity_milli_pct,global_horizontal_milli_wh_m2,direct_normal_milli_wh_m2,diffuse_horizontal_milli_wh_m2,wind_speed_milli_m_s,wind_direction_milli_deg
0,-324,70011,0,0,0,3000,184300
1,-724,70271,0,0,0,3285,184300
2,-860,70359,0,0,0,3550,184300
3,-724,70271,0,0,0,3778,184300
4,-324,70011,0,0,0,3953,184300
5,311,69598,0,0,0,4063,184300
6,1140,69059,0,0,0,4100,184300
7,2104,68432,71147,51226,19921,4063,184300
8,3140,67759,137445,98961,38485,3953,184300
9,4175,67086,194377,139952,54426,3778,184300
10,5140,66459,238062,171405,66657,3550,184300
11,5968,65921,265524,191177,74347,3285,184300
12,6604,65508,274891,197921,76969,3000,184300
13,7003,65248,265524,191177,74347,2715,184300
14,7140,65159,238062,171405,66657,2450,184300
15,7003,65248,194377,139952,54426,2222,184300
16,6604,65508,137445,98961,38485,2047,184300
17,5968,65921,71147,51226,19921,1937,184300
18,5140,66459,0,0,0,1900,184300
19,4175,67086,0,0,0,1937,184300
20,3140,67759,0,0,0,2047,184300
21,2104,68432,0,0,0,2222,184300
22,1140,69059,0,0,0,2450,184300
23,311,69598,0,0,0,2715,184300
24,-296,69992,0,0,0,3000,207755
25,-695,70252,0,0,0,3285,207755
26,-832,70341,0,0,0,3550,207755
27,-695,70252,0,0,0,3778,207755
28,-296,69992,0,0,0,3953,207755
29,340,69579,0,0,0,4063,207755
30,1168,69041,0,0,0,4100,207755
31,2133,68414,71405,51412,19993,4063,207755
32,3168,67741,137944,99320,38624,3953,207755
33,4204,67068,195083,140459,54623,3778,207755
34,5168,66441,238926,172027,66899,3550,207755
35,5997,65902,266488,191871,74617,3285,207755
36,6632,65489,275888,198640,77249,3000,207755
37,7032,65229,266488,191871,74617,2715,207755
38,7168,65141,238926,172027,66899,2450,207755
39,7032,65229,195083,140459,54623,2222,207755
40,6632,65489,137944,99320,38624,2047,207755
41,5997,65902,71405,51412,19993,1937,207755
42,5168,66441,0,0,0,1900,207755
43,4204,67068,0,0,0,1937,207755
