hour,dry_bulb_temp_milli_c,relative_humidity_milli_pct,global_horizontal_milli_wh_m2,direct_normal_milli_wh_m2,diffuse_horizontal_milli_wh_m2,wind_speed_milli_m_s,wind_direction_milli_deg
0,5645,68731,0,0,0,2200,184100
1,5245,68991,0,0,0,2485,184100
2,5109,69079,0,0,0,2750,184100
3,5245,68991,0,0,0,2978,184100
4,5645,68731,0,0,0,3153,184100
5,6280,68318,0,0,0,3263,184100
6,7109,67779,0,0,0,3300,184100
7,8073,67152,71147,51226,19921,3263,184100
8,9109,66479,137445,98961,38485,3153,184100
9,10144,65806,194377,139952,54426,2978,184100
10,11109,65179,238062,171405,66657,2750,184100
11,11937,64641,265524,191177,74347,2485,184100
12,12573,64228,274891,197921,76969,2200,184100
13,12972,63968,265524,191177,74347,1915,184100
14,13109,63879,238062,171405,66657,1650,184100
15,12972,63968,194377,139952,54426,1422,184100
16,12573,64228,137445,98961,38485,1247,184100
17,11937,64641,71147,51226,19921,1137,184100
18,11109,65179,0,0,0,1100,184100
19,10144,65806,0,0,0,1137,184100
20,9109,66479,0,0,0,1247,184100
21,8073,67152,0,0,0,1422,184100
22,7109,67779,0,0,0,1650,184100
23,6280,68318,0,0,0,1915,184100
24,5667,68717,0,0,0,2200,207555
25,5267,68976,0,0,0,2485,207555
26,5131,69065,0,0,0,2750,207555
27,5267,68976,0,0,0,2978,207555
28,5667,68717,0,0,0,3153,207555
29,6302,68303,0,0,0,3263,207555
30,7131,67765,0,0,0,3300,207555
31,8096,67138,71405,51412,19993,3263,207555
32,9131,66465,137944,99320,38624,3153,207555
33,10166,65792,195083,140459,54623,2978,207555
34,11131,65165,238926,172027,66899,2750,207555
35,11959,64626,266488,191871,74617,2485,207555
36,12595,64213,275888,198640,77249,2200,207555
37,12995,63954,266488,191871,74617,1915,207555
38,13131,63865,238926,172027,66899,1650,207555
39,12995,63954,195083,140459,54623,1422,207555
40,12595,64213,137944,99320,38624,1247,207555
41,11959,64626,71405,51412,19993,1137,207555
42,11131,65165,0,0,0,1100,207555
43,10166,65792,0,0,0,1137,207555
44,9131,66465,0,0,0,1247,207555
45,8096,67138,0,0,0,1422,207555
46,7131,67765,0,0,0,1650,207555
47,6302,68303,0,0,0,1915,207555
48,5691,68701,0,0,0,2200,213348
49,5291,68961,0,0,0,2485,213348
50,5155,69049,0,0,0,2750,213348
51,5291,68961,0,0,0,2978,213348
52,5691,68701,0,0,0,3153,213348
53,6327,68288,0,0,0,3263,213348
54,7155,67749,0,0,0,3300,213348
55,8120,67122,71687,51615,20072,3263,213348
56,9155,66449,138489,99712,38777,3153,213348
57,10190,65776,195853,141014,54839,2978,213348
58,11155,65149,239870,172706,67164,2750,213348
59,11983,64611,267540,192629,74911,2485,213348
60,12619,64198,276978,199424,77554,2200,213348
61,13019,63938,267540,192629,74911,1915,213348
62,13155,63849,239870,172706,67164,1650,213348
63,13019,63938,195853,141014,54839,1422,213348
64,12619,64198,138489,99712,38777,1247,213348
65,11983,64611,71687,51615,20072,1137,213348
66,11155,65149,0,0,0,1100,213348
67,10190,65776,0,0,0,1137,213348
68,9155,66449,0,0,0,1247,213348
69,8120,67122,0,0,0,1422,213348
70,7155,67749,0,0,0,1650,213348
71,6327,68288,0,0,0,1915,213348
72,5717,68684,0,0,0,2200,197117
73,5318,68944,0,0,0,2485,197117
74,5181,69032,0,0,0,2750,197117
75,5318,68944,0,0,0,2978,197117
76,5717,68684,0,0,0,3153,197117
77,6353,68271,0,0,0,3263,197117
78,7181,67732,0,0,0,3300,197117
79,8146,67105,71993,51835,20158,3263,197117
80,9181,66432,139079,100137,38942,3153,197117
81,10217,65759,196688,141615,55073,2978,197117
82,11181,65132,240892,173442,67450,2750,197117
83,12010,64594,268680,193450,75230,2485,197117
84,12645,64180,278158,200274,77884,2200,197117
85,13045,63921,268680,193450,75230,1915,197117
86,13181,63832,240892,173442,67450,1650,197117
87,13045,63921,196688,141615,55073,1422,197117
88,12645,64180,139079,100137,38942,1247,197117
89,12010,64594,71993,51835,20158,1137,197117
90,11181,65132,0,0,0,1100,197117
91,10217,65759,0,0,0,1137,197117
92,9181,66432,0,0,0,1247,197117
93,8146,67105,0,0,0,1422,197117
94,7181,67732,0,0,0,1650,197117
95,6353,68271,0,0,0,1915,197117
96,5745,68665,0,0,0,2200,171083
97,5346,68925,0,0,0,2485,171083
98,5210,69014,0,0,0,2750,171083
99,5346,68925,0,0,0,2978,171083
100,5745,68665,0,0,0,3153,171083
101,6381,68252,0,0,0,3263,171083
102,7210,67714,0,0,0,3300,171083
103,8174,67087,72322,52072,20250,3263,171083
104,9210,66414,139715,100595,39120,3153,171083
105,10245,65741,197587,142262,55324,2978,171083
106,11210,65114,241993,174235,67758,2750,171083
107,12038,64575,269909,194334,75574,2485,171083
108,12674,64162,279430,201190,78240,2200,171083
109,13073,63902,269909,194334,75574,1915,171083
110,13210,63814,241993,174235,67758,1650,171083
111,13073,63902,197587,142262,55324,1422,171083
112,12674,64162,139715,100595,39120,1247,171083
113,12038,64575,72322,52072,20250,1137,171083
114,11210,65114,0,0,0,1100,171083
115,10245,65741,0,0,0,1137,171083
116,9210,66414,0,0,0,1247,171083
117,8174,67087,0,0,0,1422,171083
118,7210,67714,0,0,0,1650,171083
119,6381,68252,0,0,0,1915,171083
120,5776,68646,0,0,0,2200,154852
121,5376,68906,0,0,0,2485,154852
122,5240,68994,0,0,0,2750,154852
123,5376,68906,0,0,0,2978,154852
124,5776,68646,0,0,0,3153,154852
125,6411,68233,0,0,0,3263,154852
126,7240,67694,0,0,0,3300,154852
127,8205,67067,72674,52325,20349,3263,154852
128,9240,66394,140396,101085,39311,3153,154852
129,10275,65721,198550,142956,55594,2978,154852
130,11240,65094,243173,175085,68088,2750,154852
131,12068,64556,271224,195281,75943,2485,154852
132,12704,64142,280792,202170,78622,2200,154852
133,13104,63883,271224,195281,75943,1915,154852
134,13240,63794,243173,175085,68088,1650,154852
135,13104,63883,198550,142956,55594,1422,154852
136,12704,64142,140396,101085,39311,1247,154852
137,12068,64556,72674,52325,20349,1137,154852
138,11240,65094,0,0,0,1100,154852
139,10275,65721,0,0,0,1137,154852
140,9240,66394,0,0,0,1247,154852
141,8205,67067,0,0,0,1422,154852
142,7240,67694,0,0,0,1650,154852
